fitness,lr0
0.0,0.01
0.0,0.00944
0.0,0.01007
0.0,0.01
0.0,0.01009
0.0,0.01003
0.0,0.01054
0.0,0.00913
0.0,0.01017
0.0,0.00955
0.0,0.00997
