epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6788,2.86507,3.26765,1.00152,0.00169,0.13289,0.00122,0.00029,2.473,4.50439,0.96213,0.00022,0.00022,0.00022
2,134.656,2.65443,2.85336,0.95816,0.00321,0.25249,0.0036,0.00072,2.80326,4.37884,0.98861,0.0003082,0.0003082,0.0003082
3,194.685,2.54871,2.51784,0.94652,0.00494,0.3887,0.01142,0.00343,2.81937,4.10866,0.98837,0.000238,0.000238,0.000238
