epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9931,3.69425,8.97184,1.36826,0.00068,0.05316,0.00037,7e-05,2.74786,4.7078,1.00202,0.00022,0.00022,0.00022
2,136.464,3.17966,4.3716,1.07445,0.00186,0.14618,0.00124,0.00022,2.6774,4.62177,1.00023,0.000455446,0.000455446,0.000455446
